VF, IF
-10.0, -0.00039252
-9.8, -0.00038516
-9.6, -0.0003776
-9.4, -0.00036996
-9.2, -0.00036224
-9.0, -0.00035444
-8.8, -0.00034665
-8.6, -0.00033878
-8.4, -0.00033087
-8.2, -0.00032292
-8.0, -0.00031503
-7.8, -0.00030712
-7.6, -0.00029917
-7.4, -0.00029121
-7.2, -0.0002832
-7.0, -0.00027518
-6.8, -0.00026724
-6.6, -0.00025924
-6.4, -0.00025121
-6.2, -0.00024318
-6.0, -0.00023521
-5.8, -0.00022719
-5.6, -0.00021919
-5.4, -0.00021115
-5.2, -0.00020315
-5.0, -0.00019517
-4.8, -0.00018717
-4.6, -0.00017916
-4.4, -0.0001712
-4.2, -0.00016323
-4.0, -0.00015523
-3.8, -0.00014727
-3.6, -0.0001393
-3.4, -0.00013138
-3.2, -0.00012347
-3.0, -0.00011556
-2.8, -0.00010769
-2.6, -9.9839e-05
-2.4, -9.1985e-05
-2.2, -8.4154e-05
-2.0, -7.637e-05
-1.8, -6.8612e-05
-1.6, -6.0857e-05
-1.4, -5.3135e-05
-1.2, -4.5441e-05
-1.0, -3.7793e-05
-0.8, -3.0157e-05
-0.6, -2.2558e-05
-0.4, -1.4995e-05
-0.2, -7.4989e-06
0.0, -4.6651e-10
0.2, 7.4621e-06
0.4, 1.4982e-05
0.6, 2.2552e-05
0.8, 3.0194e-05
1.0, 3.7898e-05
1.2, 4.5715e-05
1.4, 5.3632e-05
1.6, 6.16e-05
1.8, 6.9627e-05
2.0, 7.7747e-05
2.2, 8.5905e-05
2.4, 9.4118e-05
2.6, 0.00010232
2.8, 0.0001106
3.0, 0.00011891
3.2, 0.00012728
3.4, 0.00013561
3.6, 0.00014404
3.8, 0.00015247
4.0, 0.00016096
4.2, 0.00016942
4.4, 0.00017796
4.6, 0.00018651
4.8, 0.0001951
5.0, 0.00020365
5.2, 0.00021229
5.4, 0.00022092
5.6, 0.00022959
5.8, 0.00023826
6.0, 0.00024698
6.2, 0.00025571
6.4, 0.00026445
6.6, 0.00027322
6.8, 0.00028206
7.0, 0.00029089
7.2, 0.00029971
7.4, 0.00030862
7.6, 0.00031747
7.8, 0.00032642
8.0, 0.00033533
8.2, 0.00034422
8.4, 0.0003532
8.6, 0.00036219
8.8, 0.0003712
9.0, 0.00038019
9.2, 0.00038919
9.4, 0.00039824
9.6, 0.00040731
9.8, 0.00041636
10.0, 0.00042549
