, VF, IF
, -10.0, -9.8199e-06
, -9.8, -9.474e-06
, -9.6, -9.1617e-06
, -9.4, -8.8662e-06
, -9.2, -8.5803e-06
, -9.0, -8.3141e-06
, -8.8, -8.0524e-06
, -8.6, -7.7882e-06
, -8.4, -7.5342e-06
, -8.2, -7.2881e-06
, -8.0, -7.0453e-06
, -7.8, -6.7975e-06
, -7.6, -6.5557e-06
, -7.4, -6.3132e-06
, -7.2, -6.0811e-06
, -7.0, -5.8352e-06
, -6.8, -5.6008e-06
, -6.6, -5.3775e-06
, -6.4, -5.1498e-06
, -6.2, -4.9221e-06
, -6.0, -4.7076e-06
, -5.8, -4.486e-06
, -5.6, -4.2732e-06
, -5.4, -4.0644e-06
, -5.2, -3.8578e-06
, -5.0, -3.6547e-06
, -4.8, -3.4533e-06
, -4.6, -3.2553e-06
, -4.4, -3.0642e-06
, -4.2, -2.8739e-06
, -4.0, -2.6893e-06
, -3.8, -2.5124e-06
, -3.6, -2.3308e-06
, -3.4, -2.1633e-06
, -3.2, -1.9955e-06
, -3.0, -1.8366e-06
, -2.8, -1.6814e-06
, -2.6, -1.5302e-06
, -2.4, -1.382e-06
, -2.2, -1.2402e-06
, -2.0, -1.1058e-06
, -1.8, -9.7568e-07
, -1.6, -8.475e-07
, -1.4, -7.2393e-07
, -1.2, -6.0702e-07
, -1.0, -4.9579e-07
, -0.8, -3.8827e-07
, -0.6, -2.8408e-07
, -0.4, -1.8514e-07
, -0.2, -9.0519e-08
, 0.0, 1.687e-10
, 0.2, 8.8657e-08
, 0.4, 1.753e-07
, 0.6, 2.5839e-07
, 0.8, 3.3878e-07
, 1.0, 4.1503e-07
, 1.2, 4.8955e-07
, 1.4, 5.6441e-07
, 1.6, 6.3149e-07
, 1.8, 7.0221e-07
, 2.0, 7.7234e-07
, 2.2, 8.3533e-07
, 2.4, 9.0038e-07
, 2.6, 9.665e-07
, 2.8, 1.0292e-06
, 3.0, 1.0925e-06
, 3.2, 1.1514e-06
, 3.4, 1.215e-06
, 3.6, 1.2669e-06
, 3.8, 1.3263e-06
, 4.0, 1.3768e-06
, 4.2, 1.4299e-06
, 4.4, 1.4865e-06
, 4.6, 1.5346e-06
, 4.8, 1.591e-06
, 5.0, 1.6427e-06
, 5.2, 1.6923e-06
, 5.4, 1.7373e-06
, 5.6, 1.7913e-06
, 5.8, 1.8335e-06
, 6.0, 1.8843e-06
, 6.2, 1.9321e-06
, 6.4, 1.9789e-06
, 6.6, 2.023e-06
, 6.8, 2.0719e-06
, 7.0, 2.1181e-06
, 7.2, 2.1694e-06
, 7.4, 2.2127e-06
, 7.6, 2.2594e-06
, 7.8, 2.3011e-06
, 8.0, 2.3404e-06
, 8.2, 2.3866e-06
, 8.4, 2.4299e-06
, 8.6, 2.472e-06
, 8.8, 2.5198e-06
, 9.0, 2.5652e-06
, 9.2, 2.6108e-06
, 9.4, 2.6574e-06
, 9.6, 2.7018e-06
, 9.8, 2.7385e-06
, 10.0, 2.7786e-06
