, VG, VDS, ID, IG
, -10.0, 0.1, 2.299e-08, -9.7627e-07
, -9.9, 0.1, 2.2559e-08, -2.035e-06
, -9.8, 0.1, 2.0951e-08, -1.1973e-06
, -9.7, 0.1, 2.2916e-08, -1.3358e-06
, -9.6, 0.1, 2.1113e-08, -6.9602e-07
, -9.5, 0.1, 2.0668e-08, -1.7399e-06
, -9.4, 0.1, 2.0212e-08, -9.3403e-07
, -9.3, 0.1, 1.9877e-08, -1.4254e-06
, -9.2, 0.1, 2.12e-08, -1.0819e-06
, -9.1, 0.1, 2.171e-08, -1.7021e-06
, -9.0, 0.1, 2.083e-08, -1.7161e-06
, -8.9, 0.1, 1.9831e-08, -1.7077e-06
, -8.8, 0.1, 1.972e-08, -1.6962e-06
, -8.7, 0.1, 1.9186e-08, -1.9163e-06
, -8.6, 0.1, 1.9413e-08, -1.7533e-06
, -8.5, 0.1, 1.8198e-08, -1.9649e-06
, -8.4, 0.1, 1.7709e-08, -1.3877e-06
, -8.3, 0.1, 1.7053e-08, -1.4634e-06
, -8.2, 0.1, 1.6861e-08, -1.5186e-06
, -8.1, 0.1, 1.5537e-08, -1.4569e-06
, -8.0, 0.1, 1.468e-08, -1.2292e-06
, -7.9, 0.1, 1.4927e-08, -9.7182e-07
, -7.8, 0.1, 1.412e-08, -1.3104e-06
, -7.7, 0.1, 1.3238e-08, -1.4785e-06
, -7.6, 0.1, 1.3192e-08, -8.9163e-07
, -7.5, 0.1, 1.2185e-08, -6.5354e-07
, -7.4, 0.1, 1.2069e-08, -6.0158e-07
, -7.3, 0.1, 1.1474e-08, -6.1336e-07
, -7.2, 0.1, 1.078e-08, -6.404e-07
, -7.1, 0.1, 1.0218e-08, -8.2676e-07
, -7.0, 0.1, 9.9727e-09, -5.3382e-07
, -6.9, 0.1, 9.601e-09, -6.6717e-07
, -6.8, 0.1, 8.3681e-09, -5.9575e-07
, -6.7, 0.1, 7.6185e-09, -7.2138e-07
, -6.6, 0.1, 6.9548e-09, -7.4897e-07
, -6.5, 0.1, 6.9143e-09, -6.3273e-07
, -6.4, 0.1, 6.3514e-09, -4.7048e-07
, -6.3, 0.1, 5.7475e-09, -3.7267e-07
, -6.2, 0.1, 5.3551e-09, -3.4319e-07
, -6.1, 0.1, 4.2237e-09, -3.3113e-07
, -6.0, 0.1, 4.0539e-09, -3.9273e-07
, -5.9, 0.1, 3.5274e-09, -3.8908e-07
, -5.8, 0.1, 3.2289e-09, -3.247e-07
, -5.7, 0.1, -7.4306e-09, -3.1297e-07
, -5.6, 0.1, 1.0742e-08, -3.2923e-07
, -5.5, 0.1, 9.1703e-09, -2.1208e-07
, -5.4, 0.1, 7.3978e-09, -1.3658e-07
, -5.3, 0.1, 7.173e-09, -1.5603e-07
, -5.2, 0.1, 6.3275e-09, -2.3072e-07
, -5.1, 0.1, 4.9397e-09, -1.8894e-07
, -5.0, 0.1, 7.1084e-09, -1.4979e-07
, -4.9, 0.1, 9.8313e-09, -3.8078e-07
, -4.8, 0.1, 8.6322e-09, -1.777e-07
, -4.7, 0.1, 6.974e-09, -1.4739e-07
, -4.6, 0.1, 6.476e-09, -1.4557e-07
, -4.5, 0.1, 2.6037e-09, -3.5389e-07
, -4.4, 0.1, 4.6055e-09, -2.3704e-07
, -4.3, 0.1, 3.8199e-09, -1.7978e-07
, -4.2, 0.1, 2.9107e-09, -1.2434e-07
, -4.1, 0.1, 2.3741e-09, -1.2104e-07
, -4.0, 0.1, 3.545e-09, -6.4529e-06
, -3.9, 0.1, 2.067e-09, -5.7297e-06
, -3.8, 0.1, 1.6387e-09, -5.2063e-06
