VG, VDS, ID, IG
-10.0, 0.1, 1.9229e-09, -7.049e-11
-9.8, 0.1, 1.7853e-09, -6.608e-11
-9.6, 0.1, 1.7163e-09, -6.289e-11
-9.4, 0.1, 1.6682e-09, -6.08e-11
-9.2, 0.1, 1.6539e-09, -5.833e-11
-9.0, 0.1, 1.6318e-09, -5.518e-11
-8.8, 0.1, 1.6263e-09, -5.247e-11
-8.6, 0.1, 1.6329e-09, -5.079e-11
-8.4, 0.1, 1.6469e-09, -5.02e-11
-8.2, 0.1, 1.6136e-09, -4.741e-11
-8.0, 0.1, 1.628e-09, -4.521e-11
-7.8, 0.1, 1.614e-09, -4.367e-11
-7.6, 0.1, 1.6253e-09, -4.245e-11
-7.4, 0.1, 1.594e-09, -4.106e-11
-7.2, 0.1, 1.5761e-09, -3.939e-11
-7.0, 0.1, 1.6005e-09, -3.704e-11
-6.8, 0.1, 1.5672e-09, -3.633e-11
-6.6, 0.1, 1.5563e-09, -3.402e-11
-6.4, 0.1, 1.5363e-09, -3.352e-11
-6.2, 0.1, 1.5337e-09, -3.299e-11
-6.0, 0.1, 1.5388e-09, -3.096e-11
-5.8, 0.1, 1.5688e-09, -2.987e-11
-5.6, 0.1, 1.5632e-09, -2.86e-11
-5.4, 0.1, 1.5914e-09, -2.764e-11
-5.2, 0.1, 1.5473e-09, -2.666e-11
-5.0, 0.1, 1.5514e-09, -2.607e-11
-4.8, 0.1, 1.5743e-09, -2.41e-11
-4.6, 0.1, 1.5309e-09, -2.323e-11
-4.4, 0.1, 1.5579e-09, -2.214e-11
-4.2, 0.1, 1.5377e-09, -2.069e-11
-4.0, 0.1, 1.5626e-09, -1.926e-11
-3.8, 0.1, 1.5476e-09, -1.774e-11
-3.6, 0.1, 1.5637e-09, -1.639e-11
-3.4, 0.1, 1.5585e-09, -1.532e-11
-3.2, 0.1, 1.5324e-09, -1.491e-11
-3.0, 0.1, 1.4971e-09, -1.295e-11
-2.8, 0.1, 1.4974e-09, -1.258e-11
-2.6, 0.1, 1.4514e-09, -1.096e-11
-2.4, 0.1, 1.4315e-09, -1.011e-11
-2.2, 0.1, 1.4675e-09, -1.062e-11
-2.0, 0.1, 1.4386e-09, -8.28e-12
-1.8, 0.1, 1.4392e-09, -7.09e-12
-1.6, 0.1, 1.405e-09, -6.11e-12
-1.4, 0.1, 1.4123e-09, -5.72e-12
-1.2, 0.1, 1.406e-09, -4.94e-12
-1.0, 0.1, 1.3537e-09, -4.85e-12
-0.8, 0.1, 1.3289e-09, -2.81e-12
-0.6, 0.1, 1.3085e-09, -2.01e-12
-0.4, 0.1, 1.2974e-09, -1.27e-12
-0.2, 0.1, 1.2811e-09, -6e-13
0.0, 0.1, 1.218e-09, 4.3e-13
0.2, 0.1, 1.2022e-09, 1.04e-12
0.4, 0.1, 1.1945e-09, 2.54e-12
0.6, 0.1, 1.1623e-09, 3.04e-12
0.8, 0.1, 1.11e-09, 3.64e-12
1.0, 0.1, 1.0679e-09, 4.72e-12
1.2, 0.1, 1.0087e-09, 5.33e-12
1.4, 0.1, 9.9655e-10, 6.38e-12
1.6, 0.1, 9.4016e-10, 7.38e-12
1.8, 0.1, 8.7065e-10, 8.38e-12
2.0, 0.1, 8.3345e-10, 8.96e-12
2.2, 0.1, 8.1097e-10, 1.029e-11
2.4, 0.1, 7.9389e-10, 1.113e-11
2.6, 0.1, 7.5091e-10, 1.275e-11
2.8, 0.1, 7.1742e-10, 1.333e-11
3.0, 0.1, 6.4107e-10, 1.434e-11
3.2, 0.1, 6.2223e-10, 1.558e-11
3.4, 0.1, 5.7019e-10, 1.656e-11
3.6, 0.1, 5.1176e-10, 1.758e-11
3.8, 0.1, 4.5628e-10, 1.852e-11
4.0, 0.1, 4.099e-10, 1.979e-11
4.2, 0.1, 3.7778e-10, 2.09e-11
4.4, 0.1, 3.8671e-10, 2.209e-11
4.6, 0.1, 3.0484e-10, 2.33e-11
4.8, 0.1, 2.6398e-10, 2.439e-11
5.0, 0.1, 2.5313e-10, 2.588e-11
5.2, 0.1, 2.3894e-10, 2.655e-11
5.4, 0.1, 1.8724e-10, 2.836e-11
5.6, 0.1, 1.815e-10, 2.95e-11
5.8, 0.1, 1.7192e-10, 3.058e-11
6.0, 0.1, 1.862e-10, 3.256e-11
6.2, 0.1, 1.7002e-10, 3.404e-11
6.4, 0.1, 1.4458e-10, 3.477e-11
6.6, 0.1, 1.3199e-10, 3.663e-11
6.8, 0.1, 1.3575e-10, 3.784e-11
7.0, 0.1, 1.2439e-10, 3.881e-11
7.2, 0.1, 1.1906e-10, 4.099e-11
7.4, 0.1, 1.3425e-10, 4.192e-11
7.6, 0.1, 1.2552e-10, 4.367e-11
7.8, 0.1, 1.1836e-10, 4.534e-11
8.0, 0.1, 1.3408e-10, 4.693e-11
8.2, 0.1, 1.1011e-10, 4.864e-11
8.4, 0.1, 9.077e-11, 5.051e-11
8.6, 0.1, 8.242e-11, 5.15e-11
8.8, 0.1, 7.382e-11, 5.354e-11
9.0, 0.1, 7.007e-11, 5.492e-11
9.2, 0.1, 7.26e-11, 5.591e-11
9.4, 0.1, 7.205e-11, 5.855e-11
9.6, 0.1, 6.611e-11, 5.987e-11
9.8, 0.1, 4.153e-11, 6.09e-11
10.0, 0.1, 3.606e-11, 6.372e-11
10.0, 0.1, 3.248e-11, 6.33e-11
9.8, 0.1, 4.55e-11, 6.175e-11
9.6, 0.1, 7.012e-11, 5.979e-11
9.4, 0.1, 8.265e-11, 5.782e-11
9.2, 0.1, 1.1621e-10, 5.68e-11
9.0, 0.1, 1.3439e-10, 5.487e-11
8.8, 0.1, 1.5755e-10, 5.34e-11
8.6, 0.1, 1.6483e-10, 5.214e-11
8.4, 0.1, 1.8997e-10, 5.053e-11
8.2, 0.1, 2.2986e-10, 4.862e-11
8.0, 0.1, 2.6051e-10, 4.752e-11
7.8, 0.1, 3.1026e-10, 4.618e-11
7.6, 0.1, 3.7259e-10, 4.451e-11
7.4, 0.1, 4.129e-10, 4.326e-11
7.2, 0.1, 4.665e-10, 4.155e-11
7.0, 0.1, 5.568e-10, 4.014e-11
6.8, 0.1, 6.0951e-10, 3.883e-11
