VF, IF
-0.5, -0.0001291
-0.49, -0.00012653
-0.48, -0.0001239
-0.47, -0.00012131
-0.46, -0.00011872
-0.45, -0.00011616
-0.44, -0.00011356
-0.43, -0.00011098
-0.42, -0.00010836
-0.41, -0.00010579
-0.4, -0.0001032
-0.39, -0.00010064
-0.38, -9.8029e-05
-0.37, -9.5435e-05
-0.36, -9.2855e-05
-0.35, -9.0271e-05
-0.34, -8.7672e-05
-0.33, -8.5105e-05
-0.32, -8.2525e-05
-0.31, -7.9922e-05
-0.3, -7.7346e-05
-0.29, -7.4783e-05
-0.28, -7.2209e-05
-0.27, -6.961e-05
-0.26, -6.7039e-05
-0.25, -6.446e-05
-0.24, -6.1885e-05
-0.23, -5.9316e-05
-0.22, -5.6726e-05
-0.21, -5.4154e-05
-0.2, -5.1589e-05
-0.19, -4.8884e-05
-0.18, -4.6335e-05
-0.17, -4.3772e-05
-0.16, -4.1192e-05
-0.15, -3.8645e-05
-0.14, -3.6043e-05
-0.13, -3.3486e-05
-0.12, -3.0911e-05
-0.11, -2.8344e-05
-0.1, -2.5758e-05
-0.09, -2.318e-05
-0.08, -2.0607e-05
-0.07, -1.8045e-05
-0.06, -1.5452e-05
-0.05, -1.2882e-05
-0.04, -1.0314e-05
-0.03, -7.7463e-06
-0.02, -5.158e-06
-0.01, -2.5875e-06
0.0, 4.3651e-10
0.01, 2.5858e-06
0.02, 5.1533e-06
0.03, 7.7218e-06
0.04, 1.0291e-05
0.05, 1.2881e-05
0.06, 1.5453e-05
0.07, 1.8022e-05
0.08, 2.0595e-05
0.09, 2.3186e-05
0.1, 2.5749e-05
0.11, 2.8308e-05
0.12, 3.0865e-05
0.13, 3.3473e-05
0.14, 3.6022e-05
0.15, 3.8604e-05
0.16, 4.1188e-05
0.17, 4.3788e-05
0.18, 4.6374e-05
0.19, 4.8955e-05
0.2, 5.1539e-05
0.21, 5.413e-05
0.22, 5.6713e-05
0.23, 5.921e-05
0.24, 6.1824e-05
0.25, 6.4416e-05
0.26, 6.7007e-05
0.27, 6.9597e-05
0.28, 7.2177e-05
0.29, 7.4658e-05
0.3, 7.7308e-05
0.31, 7.9904e-05
0.32, 8.2454e-05
0.33, 8.5032e-05
0.34, 8.7679e-05
0.35, 9.0272e-05
0.36, 9.2878e-05
0.37, 9.5452e-05
0.38, 9.7827e-05
0.39, 0.00010054
0.4, 0.00010313
0.41, 0.00010555
0.42, 0.00010828
0.43, 0.00011091
0.44, 0.0001135
0.45, 0.00011602
0.46, 0.00011868
0.47, 0.00012121
0.48, 0.00012378
0.49, 0.00012641
0.5, 0.00012907
