, IF
0.0, -3.8861e-05
.8, -3.8228e-05
.6, -3.7543e-05
.4, -3.6863e-05
.2, -3.6151e-05
.0, -3.542e-05
.8, -3.4676e-05
.6, -3.3941e-05
.4, -3.3187e-05
.2, -3.2452e-05
.0, -3.1686e-05
.8, -3.093e-05
.6, -3.0164e-05
.4, -2.9403e-05
.2, -2.8636e-05
.0, -2.7862e-05
.8, -2.7078e-05
.6, -2.6298e-05
.4, -2.5508e-05
.2, -2.4739e-05
.0, -2.3969e-05
.8, -2.3169e-05
.6, -2.2394e-05
.4, -2.1627e-05
.2, -2.0821e-05
.0, -2.0025e-05
.8, -1.9236e-05
.6, -1.8449e-05
.4, -1.7652e-05
.2, -1.6862e-05
.0, -1.6056e-05
.8, -1.5269e-05
.6, -1.4456e-05
.4, -1.366e-05
.2, -1.2854e-05
.0, -1.206e-05
.8, -1.1262e-05
.6, -1.0467e-05
.4, -9.6739e-06
.2, -8.8655e-06
.0, -8.0684e-06
.8, -7.2679e-06
.6, -6.463e-06
.4, -5.6643e-06
.2, -4.855e-06
.0, -4.0499e-06
.8, -3.2386e-06
.6, -2.4377e-06
.4, -1.6255e-06
.2, -8.1606e-07
0, 1.0728e-10
2, 8.1607e-07
4, 1.639e-06
6, 2.4695e-06
8, 3.3053e-06
0, 4.1447e-06
2, 4.9986e-06
4, 5.8549e-06
6, 6.7175e-06
8, 7.5913e-06
0, 8.4763e-06
2, 9.3599e-06
4, 1.0247e-05
6, 1.1154e-05
8, 1.2063e-05
0, 1.2979e-05
2, 1.3904e-05
4, 1.4838e-05
6, 1.5767e-05
8, 1.6716e-05
0, 1.7663e-05
2, 1.862e-05
4, 1.9576e-05
6, 2.0537e-05
8, 2.1512e-05
0, 2.2488e-05
2, 2.3466e-05
4, 2.447e-05
6, 2.5453e-05
8, 2.6445e-05
0, 2.7446e-05
2, 2.8447e-05
4, 2.9451e-05
6, 3.0464e-05
8, 3.1465e-05
0, 3.2485e-05
2, 3.3495e-05
4, 3.4524e-05
6, 3.555e-05
8, 3.6571e-05
0, 3.7612e-05
2, 3.8636e-05
4, 3.9677e-05
6, 4.0712e-05
8, 4.175e-05
0, 4.2785e-05
2, 4.3838e-05
4, 4.4896e-05
6, 4.5941e-05
8, 4.6994e-05
.0, 4.8064e-05
, IF
0.0, -3.8861e-05
.8, -3.8228e-05
.6, -3.7543e-05
.4, -3.6863e-05
.2, -3.6151e-05
.0, -3.542e-05
.8, -3.4676e-05
.6, -3.3941e-05
.4, -3.3187e-05
.2, -3.2452e-05
.0, -3.1686e-05
.8, -3.093e-05
.6, -3.0164e-05
.4, -2.9403e-05
.2, -2.8636e-05
.0, -2.7862e-05
.8, -2.7078e-05
.6, -2.6298e-05
.4, -2.5508e-05
.2, -2.4739e-05
.0, -2.3969e-05
.8, -2.3169e-05
.6, -2.2394e-05
.4, -2.1627e-05
.2, -2.0821e-05
.0, -2.0025e-05
.8, -1.9236e-05
.6, -1.8449e-05
.4, -1.7652e-05
.2, -1.6862e-05
.0, -1.6056e-05
.8, -1.5269e-05
.6, -1.4456e-05
.4, -1.366e-05
.2, -1.2854e-05
.0, -1.206e-05
.8, -1.1262e-05
.6, -1.0467e-05
.4, -9.6739e-06
.2, -8.8655e-06
.0, -8.0684e-06
.8, -7.2679e-06
.6, -6.463e-06
.4, -5.6643e-06
.2, -4.855e-06
.0, -4.0499e-06
.8, -3.2386e-06
.6, -2.4377e-06
.4, -1.6255e-06
.2, -8.1606e-07
0, 1.0728e-10
2, 8.1607e-07
4, 1.639e-06
6, 2.4695e-06
8, 3.3053e-06
0, 4.1447e-06
2, 4.9986e-06
4, 5.8549e-06
6, 6.7175e-06
8, 7.5913e-06
0, 8.4763e-06
2, 9.3599e-06
4, 1.0247e-05
6, 1.1154e-05
8, 1.2063e-05
0, 1.2979e-05
2, 1.3904e-05
4, 1.4838e-05
6, 1.5767e-05
8, 1.6716e-05
0, 1.7663e-05
2, 1.862e-05
4, 1.9576e-05
6, 2.0537e-05
8, 2.1512e-05
0, 2.2488e-05
2, 2.3466e-05
4, 2.447e-05
6, 2.5453e-05
8, 2.6445e-05
0, 2.7446e-05
2, 2.8447e-05
4, 2.9451e-05
6, 3.0464e-05
8, 3.1465e-05
0, 3.2485e-05
2, 3.3495e-05
4, 3.4524e-05
6, 3.555e-05
8, 3.6571e-05
0, 3.7612e-05
2, 3.8636e-05
4, 3.9677e-05
6, 4.0712e-05
8, 4.175e-05
0, 4.2785e-05
2, 4.3838e-05
4, 4.4896e-05
6, 4.5941e-05
8, 4.6994e-05
.0, 4.8064e-05
