VF, IF
-10.0, -5.4998e-06
-9.8, -5.4805e-06
-9.6, -5.4727e-06
-9.4, -5.396e-06
-9.2, -5.273e-06
-9.0, -5.1821e-06
-8.8, -5.0758e-06
-8.6, -4.9753e-06
-8.4, -4.8985e-06
-8.2, -4.812e-06
-8.0, -4.7031e-06
-7.8, -4.6192e-06
-7.6, -4.5176e-06
-7.4, -4.4218e-06
-7.2, -4.3013e-06
-7.0, -4.198e-06
-6.8, -4.1025e-06
-6.6, -4.0026e-06
-6.4, -3.8961e-06
-6.2, -3.7724e-06
-6.0, -3.6558e-06
-5.8, -3.539e-06
-5.6, -3.3991e-06
-5.4, -3.278e-06
-5.2, -3.1631e-06
-5.0, -3.0385e-06
-4.8, -2.917e-06
-4.6, -2.79e-06
-4.4, -2.668e-06
-4.2, -2.5494e-06
-4.0, -2.4265e-06
-3.8, -2.3024e-06
-3.6, -2.1787e-06
-3.4, -2.0561e-06
-3.2, -1.9327e-06
-3.0, -1.8113e-06
-2.8, -1.6887e-06
-2.6, -1.5654e-06
-2.4, -1.4408e-06
-2.2, -1.319e-06
-2.0, -1.1956e-06
-1.8, -1.069e-06
-1.6, -9.5055e-07
-1.4, -8.3265e-07
-1.2, -7.089e-07
-1.0, -5.8884e-07
-0.8, -4.7008e-07
-0.6, -3.5042e-07
-0.4, -2.3291e-07
-0.2, -1.1579e-07
0.0, 7.66e-11
0.2, 1.1689e-07
0.4, 2.379e-07
0.6, 3.6071e-07
0.8, 4.8954e-07
1.0, 6.1915e-07
1.2, 7.54e-07
1.4, 8.9373e-07
1.6, 1.0386e-06
1.8, 1.1899e-06
2.0, 1.3432e-06
2.2, 1.4933e-06
2.4, 1.6509e-06
2.6, 1.8065e-06
2.8, 1.9707e-06
3.0, 2.1477e-06
3.2, 2.3133e-06
3.4, 2.4716e-06
3.6, 2.6411e-06
3.8, 2.819e-06
4.0, 2.9929e-06
4.2, 3.1614e-06
4.4, 3.3351e-06
4.6, 3.5232e-06
4.8, 3.7077e-06
5.0, 3.8898e-06
5.2, 4.0681e-06
5.4, 4.2393e-06
5.6, 4.4328e-06
5.8, 4.6581e-06
6.0, 4.8312e-06
6.2, 5.0379e-06
6.4, 5.2314e-06
6.6, 5.4137e-06
6.8, 5.5758e-06
7.0, 5.7671e-06
7.2, 5.9652e-06
7.4, 6.1548e-06
7.6, 6.3483e-06
7.8, 6.5521e-06
8.0, 6.7398e-06
8.2, 6.9173e-06
8.4, 7.0905e-06
8.6, 7.2752e-06
8.8, 7.44e-06
9.0, 7.6044e-06
9.2, 7.8137e-06
9.4, 7.9972e-06
9.6, 8.167e-06
9.8, 8.3412e-06
10.0, 8.5063e-06
