VG, VDS, ID, IG
-10.0, 0.1, 8.9331e-08, -1.3017e-08
-9.8, 0.1, 8.5737e-08, -1.0159e-08
-9.6, 0.1, 8.4646e-08, -8.6629e-09
-9.4, 0.1, 8.3006e-08, -7.6698e-09
-9.2, 0.1, 8.1839e-08, -6.9449e-09
-9.0, 0.1, 8.0816e-08, -6.3486e-09
-8.8, 0.1, 7.9893e-08, -5.7496e-09
-8.6, 0.1, 7.8485e-08, -5.2678e-09
-8.4, 0.1, 7.81e-08, -4.9739e-09
-8.2, 0.1, 7.7344e-08, -4.5987e-09
-8.0, 0.1, 7.6391e-08, -4.237e-09
-7.8, 0.1, 7.5432e-08, -4.0688e-09
-7.6, 0.1, 7.5021e-08, -3.7217e-09
-7.4, 0.1, 7.3797e-08, -3.5579e-09
-7.2, 0.1, 7.291e-08, -3.3472e-09
-7.0, 0.1, 7.1439e-08, -3.2485e-09
-6.8, 0.1, 7.131e-08, -3.1464e-09
-6.6, 0.1, 6.9891e-08, -2.842e-09
-6.4, 0.1, 6.8457e-08, -2.7385e-09
-6.2, 0.1, 6.8256e-08, -2.7032e-09
-6.0, 0.1, 6.7154e-08, -2.581e-09
-5.8, 0.1, 6.6147e-08, -2.3901e-09
-5.6, 0.1, 6.4945e-08, -2.1664e-09
-5.4, 0.1, 6.3152e-08, -2.1283e-09
-5.2, 0.1, 6.3397e-08, -2.0106e-09
-5.0, 0.1, 6.165e-08, -1.8824e-09
-4.8, 0.1, 6.0585e-08, -1.7541e-09
-4.6, 0.1, 5.937e-08, -1.6208e-09
-4.4, 0.1, 5.9081e-08, -1.502e-09
-4.2, 0.1, 5.7755e-08, -1.3889e-09
-4.0, 0.1, 5.717e-08, -1.2782e-09
-3.8, 0.1, 5.6151e-08, -1.166e-09
-3.6, 0.1, 5.5249e-08, -1.0415e-09
-3.4, 0.1, 5.4242e-08, -9.381e-10
-3.2, 0.1, 5.3165e-08, -8.3121e-10
-3.0, 0.1, 5.2423e-08, -7.2966e-10
-2.8, 0.1, 5.1223e-08, -6.2076e-10
-2.6, 0.1, 5.0559e-08, -5.2473e-10
-2.4, 0.1, 4.9853e-08, -4.2438e-10
-2.2, 0.1, 4.8616e-08, -3.244e-10
-2.0, 0.1, 4.8078e-08, -2.2039e-10
-1.8, 0.1, 4.7076e-08, -1.3024e-10
-1.6, 0.1, 4.5633e-08, 3.49e-11
-1.4, 0.1, 4.4836e-08, 1.9275e-10
-1.2, 0.1, 4.405e-08, 1.7502e-10
-1.0, 0.1, 4.347e-08, 2.3442e-10
-0.8, 0.1, 4.2621e-08, 3.513e-10
-0.6, 0.1, 4.1516e-08, 5.6896e-10
-0.4, 0.1, 4.0797e-08, 5.8418e-10
-0.2, 0.1, 3.983e-08, 6.6332e-10
0.0, 0.1, 3.9022e-08, 7.5343e-10
0.2, 0.1, 3.8296e-08, 8.4255e-10
0.4, 0.1, 3.7472e-08, 9.3525e-10
0.6, 0.1, 3.6688e-08, 1.0294e-09
0.8, 0.1, 3.6346e-08, 1.1141e-09
1.0, 0.1, 3.5694e-08, 1.2114e-09
1.2, 0.1, 3.4979e-08, 1.2975e-09
1.4, 0.1, 3.432e-08, 1.3921e-09
1.6, 0.1, 3.3411e-08, 1.4843e-09
1.8, 0.1, 3.2603e-08, 1.6249e-09
2.0, 0.1, 3.1633e-08, 1.8334e-09
2.2, 0.1, 3.0935e-08, 1.8297e-09
2.4, 0.1, 3.0217e-08, 1.9081e-09
2.6, 0.1, 2.9671e-08, 1.9947e-09
2.8, 0.1, 2.9033e-08, 2.0905e-09
3.0, 0.1, 2.8939e-08, 2.2375e-09
3.2, 0.1, 2.7749e-08, 2.42e-09
3.4, 0.1, 2.7102e-08, 2.4104e-09
3.6, 0.1, 2.6423e-08, 2.5316e-09
3.8, 0.1, 2.5173e-08, 2.833e-09
4.0, 0.1, 2.4329e-08, 2.8874e-09
4.2, 0.1, 2.4248e-08, 2.8422e-09
4.4, 0.1, 2.3794e-08, 2.9151e-09
4.6, 0.1, 2.3384e-08, 3.0713e-09
4.8, 0.1, 2.2167e-08, 3.2404e-09
5.0, 0.1, 2.1596e-08, 3.3013e-09
5.2, 0.1, 2.0693e-08, 3.6585e-09
5.4, 0.1, 1.9934e-08, 3.6362e-09
5.6, 0.1, 1.9639e-08, 3.6554e-09
5.8, 0.1, 1.8841e-08, 3.7846e-09
6.0, 0.1, 1.8143e-08, 3.7439e-09
6.2, 0.1, 1.8315e-08, 3.8257e-09
6.4, 0.1, 1.7785e-08, 3.9896e-09
6.6, 0.1, 1.6891e-08, 4.2325e-09
6.8, 0.1, 1.5731e-08, 4.3347e-09
7.0, 0.1, 1.5487e-08, 4.2182e-09
7.2, 0.1, 1.5238e-08, 4.2317e-09
7.4, 0.1, 1.5298e-08, 4.2854e-09
7.6, 0.1, 1.4385e-08, 4.4312e-09
7.8, 0.1, 1.3749e-08, 4.6118e-09
8.0, 0.1, 1.3102e-08, 4.6326e-09
8.2, 0.1, 1.3127e-08, 4.829e-09
8.4, 0.1, 1.246e-08, 4.8374e-09
8.6, 0.1, 1.2235e-08, 5.1647e-09
8.8, 0.1, 1.1321e-08, 5.1898e-09
9.0, 0.1, 1.1181e-08, 5.1929e-09
9.2, 0.1, 1.0747e-08, 5.52e-09
9.4, 0.1, 9.9841e-09, 5.4877e-09
9.6, 0.1, 9.7573e-09, 5.4953e-09
9.8, 0.1, 9.5059e-09, 5.6306e-09
10.0, 0.1, 9.0896e-09, 5.9175e-09
10.0, 0.1, 9.5703e-09, 5.5549e-09
9.8, 0.1, 1.1956e-08, 5.0953e-09
9.6, 0.1, 1.3475e-08, 4.6759e-09
9.4, 0.1, 1.5336e-08, 4.4936e-09
9.2, 0.1, 1.6694e-08, 4.151e-09
9.0, 0.1, 1.8025e-08, 4.0455e-09
8.8, 0.1, 1.9479e-08, 3.9529e-09
8.6, 0.1, 2.0926e-08, 3.6019e-09
8.4, 0.1, 2.2372e-08, 3.3503e-09
8.2, 0.1, 2.3999e-08, 3.3371e-09
8.0, 0.1, 2.4941e-08, 3.2825e-09
7.8, 0.1, 2.6385e-08, 3.091e-09
7.6, 0.1, 2.7259e-08, 3.0692e-09
7.4, 0.1, 2.8353e-08, 2.906e-09
7.2, 0.1, 2.9474e-08, 2.5478e-09
7.0, 0.1, 3.1159e-08, 2.515e-09
6.8, 0.1, 3.1833e-08, 2.5053e-09
6.6, 0.1, 3.282e-08, 2.3213e-09
6.4, 0.1, 3.3706e-08, 2.2543e-09
6.2, 0.1, 3.4946e-08, 2.0901e-09
6.0, 0.1, 3.5552e-08, 2.0921e-09
5.8, 0.1, 3.6773e-08, 2.011e-09
5.6, 0.1, 3.7451e-08, 1.9196e-09
5.4, 0.1, 3.8241e-08, 1.8234e-09
5.2, 0.1, 3.8753e-08, 1.7325e-09
5.0, 0.1, 3.9593e-08, 1.5728e-09
4.8, 0.1, 4.0828e-08, 1.2382e-09
4.6, 0.1, 4.1669e-08, 1.2041e-09
4.4, 0.1, 4.2746e-08, 1.2476e-09
4.2, 0.1, 4.3381e-08, 1.1786e-09
4.0, 0.1, 4.4248e-08, 1.0627e-09
3.8, 0.1, 4.526e-08, 8.8042e-10
3.6, 0.1, 4.5637e-08, 8.7709e-10
3.4, 0.1, 4.6329e-08, 7.322e-10
3.2, 0.1, 4.7474e-08, 5.7173e-10
3.0, 0.1, 4.8392e-08, 5.9331e-10
2.8, 0.1, 4.9137e-08, 5.3001e-10
2.6, 0.1, 4.9352e-08, 4.4227e-10
2.4, 0.1, 5.0002e-08, 3.6608e-10
2.2, 0.1, 5.055e-08, 3.0441e-10
2.0, 0.1, 5.1307e-08, 2.0792e-10
1.8, 0.1, 5.2046e-08, 1.3973e-10
1.6, 0.1, 5.3355e-08, 3.92e-11
1.4, 0.1, 5.3749e-08, -9.788e-11
1.2, 0.1, 5.4614e-08, -1.5742e-10
1.0, 0.1, 5.4793e-08, -2.3978e-10
0.8, 0.1, 5.5892e-08, -3.2292e-10
0.6, 0.1, 5.6315e-08, -4.1504e-10
0.4, 0.1, 5.736e-08, -5.0801e-10
0.2, 0.1, 5.8096e-08, -5.7281e-10
0.0, 0.1, 5.9056e-08, -6.6565e-10
