VG, VDS, ID, IG
-10.0, 0.1, 2.7412e-09, -7.27e-11
-9.8, 0.1, 2.3483e-09, -6.246e-11
-9.6, 0.1, 2.3067e-09, -5.81e-11
-9.4, 0.1, 2.1986e-09, -5.558e-11
-9.2, 0.1, 2.1757e-09, -5.358e-11
-9.0, 0.1, 2.1102e-09, -5.145e-11
-8.8, 0.1, 2.2227e-09, -4.959e-11
-8.6, 0.1, 2.1819e-09, -4.714e-11
-8.4, 0.1, 2.1499e-09, -4.566e-11
-8.2, 0.1, 2.1142e-09, -4.38e-11
-8.0, 0.1, 2.0811e-09, -4.197e-11
-7.8, 0.1, 2.0615e-09, -4.071e-11
-7.6, 0.1, 2.0959e-09, -3.874e-11
-7.4, 0.1, 2.0508e-09, -3.658e-11
-7.2, 0.1, 1.9885e-09, -3.461e-11
-7.0, 0.1, 2.0559e-09, -3.262e-11
-6.8, 0.1, 2.0405e-09, -3.089e-11
-6.6, 0.1, 1.9928e-09, -2.934e-11
-6.4, 0.1, 1.9624e-09, -2.772e-11
-6.2, 0.1, 2.0215e-09, -2.616e-11
-6.0, 0.1, 2.0699e-09, -2.466e-11
-5.8, 0.1, 1.9768e-09, -2.318e-11
-5.6, 0.1, 1.9813e-09, -2.187e-11
-5.4, 0.1, 1.9243e-09, -2.067e-11
-5.2, 0.1, 1.9819e-09, -1.946e-11
-5.0, 0.1, 1.985e-09, -1.804e-11
-4.8, 0.1, 1.9642e-09, -1.673e-11
-4.6, 0.1, 2.0642e-09, -1.54e-11
-4.4, 0.1, 2.0378e-09, -1.437e-11
-4.2, 0.1, 1.9938e-09, -1.305e-11
-4.0, 0.1, 1.9712e-09, -1.202e-11
-3.8, 0.1, 2.0885e-09, -1.107e-11
-3.6, 0.1, 2.0983e-09, -9.86e-12
-3.4, 0.1, 2.0803e-09, -8.71e-12
-3.2, 0.1, 2.0861e-09, -7.8e-12
-3.0, 0.1, 2.0688e-09, -6.67e-12
-2.8, 0.1, 2.0737e-09, -5.67e-12
-2.6, 0.1, 2.0444e-09, -4.63e-12
-2.4, 0.1, 1.9339e-09, -3.56e-12
-2.2, 0.1, 1.8952e-09, -2.56e-12
-2.0, 0.1, 1.967e-09, -1.52e-12
-1.8, 0.1, 1.8646e-09, -7.2e-13
-1.6, 0.1, 1.9283e-09, 1.8e-13
-1.4, 0.1, 1.887e-09, 1.11e-12
-1.2, 0.1, 1.881e-09, 2.03e-12
-1.0, 0.1, 1.8665e-09, 2.92e-12
-0.8, 0.1, 1.8992e-09, 3.76e-12
-0.6, 0.1, 1.8465e-09, 4.52e-12
-0.4, 0.1, 1.8165e-09, 5.37e-12
-0.2, 0.1, 1.856e-09, 6.07e-12
0.0, 0.1, 1.8148e-09, 6.84e-12
0.2, 0.1, 1.7826e-09, 7.69e-12
0.4, 0.1, 1.8357e-09, 8.42e-12
0.6, 0.1, 1.7359e-09, 9.21e-12
0.8, 0.1, 1.7119e-09, 1.01e-11
1.0, 0.1, 1.6838e-09, 1.087e-11
1.2, 0.1, 1.6217e-09, 1.169e-11
1.4, 0.1, 1.5267e-09, 1.245e-11
1.6, 0.1, 1.4658e-09, 1.336e-11
1.8, 0.1, 1.493e-09, 1.431e-11
2.0, 0.1, 1.3908e-09, 1.521e-11
2.2, 0.1, 1.3975e-09, 1.613e-11
2.4, 0.1, 1.3516e-09, 1.691e-11
2.6, 0.1, 1.2665e-09, 1.8e-11
2.8, 0.1, 1.159e-09, 1.917e-11
3.0, 0.1, 1.0866e-09, 2.006e-11
3.2, 0.1, 9.6748e-10, 2.109e-11
3.4, 0.1, 9.2797e-10, 2.228e-11
3.6, 0.1, 8.7941e-10, 2.342e-11
3.8, 0.1, 8.588e-10, 2.422e-11
4.0, 0.1, 8.1394e-10, 2.529e-11
4.2, 0.1, 7.029e-10, 2.669e-11
