VG, VDS, ID, IG
-10.0, 0.1, 1.9575e-07, -6.64e-11
-9.8, 0.1, 1.9019e-07, -6.021e-11
-9.6, 0.1, 1.8785e-07, -5.586e-11
-9.4, 0.1, 1.8653e-07, -5.28e-11
-9.2, 0.1, 1.8567e-07, -5.076e-11
-9.0, 0.1, 1.8508e-07, -4.919e-11
-8.8, 0.1, 1.8442e-07, -4.763e-11
-8.6, 0.1, 1.8405e-07, -4.582e-11
-8.4, 0.1, 1.8356e-07, -4.433e-11
-8.2, 0.1, 1.8331e-07, -4.281e-11
-8.0, 0.1, 1.8299e-07, -4.12e-11
-7.8, 0.1, 1.8286e-07, -3.992e-11
-7.6, 0.1, 1.8231e-07, -3.829e-11
-7.4, 0.1, 1.8188e-07, -3.668e-11
-7.2, 0.1, 1.8175e-07, -3.513e-11
-7.0, 0.1, 1.8136e-07, -3.358e-11
-6.8, 0.1, 1.8109e-07, -3.263e-11
-6.6, 0.1, 1.8079e-07, -3.105e-11
-6.4, 0.1, 1.8044e-07, -3.016e-11
-6.2, 0.1, 1.8005e-07, -2.88e-11
-6.0, 0.1, 1.7987e-07, -2.737e-11
-5.8, 0.1, 1.7989e-07, -2.702e-11
-5.6, 0.1, 1.7919e-07, -2.601e-11
-5.4, 0.1, 1.7895e-07, -2.468e-11
-5.2, 0.1, 1.7839e-07, -2.39e-11
-5.0, 0.1, 1.7774e-07, -2.231e-11
-4.8, 0.1, 1.7728e-07, -2.078e-11
-4.6, 0.1, 1.7677e-07, -1.894e-11
-4.4, 0.1, 1.7655e-07, -1.865e-11
-4.2, 0.1, 1.7612e-07, -1.763e-11
-4.0, 0.1, 1.7544e-07, -1.623e-11
-3.8, 0.1, 1.7493e-07, -1.535e-11
-3.6, 0.1, 1.7447e-07, -1.414e-11
-3.4, 0.1, 1.7404e-07, -1.333e-11
-3.2, 0.1, 1.7354e-07, -1.22e-11
-3.0, 0.1, 1.732e-07, -1.128e-11
-2.8, 0.1, 1.7276e-07, -1.035e-11
-2.6, 0.1, 1.7213e-07, -9.61e-12
-2.4, 0.1, 1.7162e-07, -8.66e-12
-2.2, 0.1, 1.713e-07, -7.82e-12
-2.0, 0.1, 1.7064e-07, -7.2e-12
-1.8, 0.1, 1.7011e-07, -6.32e-12
-1.6, 0.1, 1.6944e-07, -5.3e-12
-1.4, 0.1, 1.6881e-07, -4.55e-12
-1.2, 0.1, 1.6827e-07, -3.79e-12
-1.0, 0.1, 1.6781e-07, -2.81e-12
-0.8, 0.1, 1.6724e-07, -1.6e-12
-0.6, 0.1, 1.6657e-07, -1.78e-12
-0.4, 0.1, 1.6597e-07, -1.22e-12
