VG, VDS, ID, IG
-10.0, 0.1, 3.7446e-07, -9.2214e-09
-9.8, 0.1, 3.675e-07, -6.9835e-09
-9.6, 0.1, 3.6256e-07, -5.6317e-09
-9.4, 0.1, 3.5719e-07, -4.9119e-09
-9.2, 0.1, 3.5265e-07, -4.3855e-09
-9.0, 0.1, 3.4827e-07, -3.978e-09
-8.8, 0.1, 3.4411e-07, -3.7126e-09
-8.6, 0.1, 3.3996e-07, -3.4355e-09
-8.4, 0.1, 3.3583e-07, -3.2409e-09
-8.2, 0.1, 3.3182e-07, -3.0701e-09
-8.0, 0.1, 3.2764e-07, -2.8342e-09
-7.8, 0.1, 3.2355e-07, -2.6056e-09
-7.6, 0.1, 3.1965e-07, -2.545e-09
-7.4, 0.1, 3.1576e-07, -2.4977e-09
-7.2, 0.1, 3.1166e-07, -2.366e-09
-7.0, 0.1, 3.0769e-07, -2.1488e-09
-6.8, 0.1, 3.0372e-07, -2.0738e-09
-6.6, 0.1, 3e-07, -2.0385e-09
-6.4, 0.1, 2.9602e-07, -1.9251e-09
-6.2, 0.1, 2.9192e-07, -1.7268e-09
-6.0, 0.1, 2.8786e-07, -1.6592e-09
-5.8, 0.1, 2.8396e-07, -1.6496e-09
-5.6, 0.1, 2.8006e-07, -1.5659e-09
-5.4, 0.1, 2.7607e-07, -1.3549e-09
-5.2, 0.1, 2.7215e-07, -1.3126e-09
-5.0, 0.1, 2.6829e-07, -1.3085e-09
-4.8, 0.1, 2.6438e-07, -1.2525e-09
-4.6, 0.1, 2.6042e-07, -1.1861e-09
-4.4, 0.1, 2.5665e-07, -1.1123e-09
-4.2, 0.1, 2.5259e-07, -1.0429e-09
-4.0, 0.1, 2.4864e-07, -9.11e-10
-3.8, 0.1, 2.4468e-07, -8.225e-10
-3.6, 0.1, 2.4088e-07, -8.0331e-10
-3.4, 0.1, 2.3699e-07, -7.3585e-10
-3.2, 0.1, 2.3321e-07, -6.7863e-10
-3.0, 0.1, 2.2925e-07, -6.111e-10
-2.8, 0.1, 2.2562e-07, -5.4591e-10
-2.6, 0.1, 2.2202e-07, -4.8334e-10
-2.4, 0.1, 2.1821e-07, -4.1258e-10
-2.2, 0.1, 2.1437e-07, -3.5379e-10
-2.0, 0.1, 2.1067e-07, -2.367e-10
-1.8, 0.1, 2.0707e-07, -1.5512e-10
-1.6, 0.1, 2.0343e-07, -1.5171e-10
-1.4, 0.1, 2.0001e-07, -1.214e-10
-1.2, 0.1, 1.9674e-07, -5.431e-11
-1.0, 0.1, 1.9332e-07, 1.074e-11
-0.8, 0.1, 1.8993e-07, 1.047e-10
-0.6, 0.1, 1.8647e-07, 1.4299e-10
-0.4, 0.1, 1.8335e-07, 1.6545e-10
-0.2, 0.1, 1.8012e-07, 2.4039e-10
0.0, 0.1, 1.7692e-07, 3.0111e-10
0.2, 0.1, 1.7401e-07, 3.5662e-10
0.4, 0.1, 1.7094e-07, 4.1265e-10
0.6, 0.1, 1.6813e-07, 4.7422e-10
0.8, 0.1, 1.6527e-07, 5.3694e-10
1.0, 0.1, 1.6256e-07, 6.239e-10
1.2, 0.1, 1.5962e-07, 7.2764e-10
1.4, 0.1, 1.5715e-07, 7.5299e-10
1.6, 0.1, 1.5454e-07, 8.0586e-10
1.8, 0.1, 1.5208e-07, 8.973e-10
2.0, 0.1, 1.4954e-07, 9.8718e-10
2.2, 0.1, 1.4726e-07, 1.0109e-09
2.4, 0.1, 1.4482e-07, 1.0824e-09
2.6, 0.1, 1.4247e-07, 1.187e-09
2.8, 0.1, 1.4022e-07, 1.2201e-09
3.0, 0.1, 1.3789e-07, 1.3213e-09
3.2, 0.1, 1.3578e-07, 1.3311e-09
3.4, 0.1, 1.3383e-07, 1.3396e-09
3.6, 0.1, 1.3194e-07, 1.4241e-09
3.8, 0.1, 1.2997e-07, 1.5542e-09
4.0, 0.1, 1.2769e-07, 1.6388e-09
4.2, 0.1, 1.2585e-07, 1.6879e-09
4.4, 0.1, 1.2384e-07, 1.7734e-09
4.6, 0.1, 1.2217e-07, 1.7836e-09
4.8, 0.1, 1.2051e-07, 1.8412e-09
5.0, 0.1, 1.1871e-07, 1.9491e-09
5.2, 0.1, 1.1715e-07, 1.9657e-09
5.4, 0.1, 1.157e-07, 2.0359e-09
5.6, 0.1, 1.1397e-07, 2.1785e-09
5.8, 0.1, 1.1236e-07, 2.2895e-09
6.0, 0.1, 1.1078e-07, 2.3421e-09
6.2, 0.1, 1.0951e-07, 2.326e-09
6.4, 0.1, 1.0812e-07, 2.3959e-09
6.6, 0.1, 1.066e-07, 2.4892e-09
6.8, 0.1, 1.0529e-07, 2.4947e-09
7.0, 0.1, 1.0398e-07, 2.5328e-09
7.2, 0.1, 1.0298e-07, 2.5903e-09
7.4, 0.1, 1.0156e-07, 2.7628e-09
7.6, 0.1, 1.0011e-07, 2.8205e-09
7.8, 0.1, 9.9074e-08, 2.8754e-09
8.0, 0.1, 9.7797e-08, 2.9454e-09
8.2, 0.1, 9.6819e-08, 2.9515e-09
8.4, 0.1, 9.5709e-08, 3.0129e-09
8.6, 0.1, 9.4537e-08, 3.1234e-09
8.8, 0.1, 9.352e-08, 3.1633e-09
9.0, 0.1, 9.2414e-08, 3.2753e-09
9.2, 0.1, 9.1542e-08, 3.2886e-09
9.4, 0.1, 9.0427e-08, 3.437e-09
9.6, 0.1, 8.9386e-08, 3.504e-09
9.8, 0.1, 8.849e-08, 3.4935e-09
10.0, 0.1, 8.7806e-08, 3.5272e-09
10.0, 0.1, 8.8048e-08, 3.4706e-09
9.8, 0.1, 8.9424e-08, 3.2252e-09
9.6, 0.1, 9.086e-08, 2.9923e-09
9.4, 0.1, 9.2149e-08, 2.8504e-09
9.2, 0.1, 9.3477e-08, 2.756e-09
9.0, 0.1, 9.4969e-08, 2.5733e-09
8.8, 0.1, 9.6473e-08, 2.4672e-09
8.6, 0.1, 9.7821e-08, 2.422e-09
8.4, 0.1, 9.9412e-08, 2.3459e-09
8.2, 0.1, 1.0094e-07, 2.2585e-09
8.0, 0.1, 1.0258e-07, 2.175e-09
7.8, 0.1, 1.0431e-07, 2.087e-09
7.6, 0.1, 1.0588e-07, 1.9919e-09
7.4, 0.1, 1.0775e-07, 1.8345e-09
7.2, 0.1, 1.0951e-07, 1.739e-09
7.0, 0.1, 1.1132e-07, 1.7176e-09
6.8, 0.1, 1.1306e-07, 1.6751e-09
6.6, 0.1, 1.1497e-07, 1.5967e-09
6.4, 0.1, 1.1686e-07, 1.522e-09
6.2, 0.1, 1.1882e-07, 1.4512e-09
6.0, 0.1, 1.2074e-07, 1.3762e-09
5.8, 0.1, 1.2264e-07, 1.2796e-09
5.6, 0.1, 1.2476e-07, 1.1739e-09
5.4, 0.1, 1.2699e-07, 1.1419e-09
5.2, 0.1, 1.2911e-07, 1.081e-09
5.0, 0.1, 1.3133e-07, 9.933e-10
4.8, 0.1, 1.3387e-07, 8.8982e-10
4.6, 0.1, 1.3617e-07, 8.5972e-10
4.4, 0.1, 1.3866e-07, 8.0253e-10
4.2, 0.1, 1.4097e-07, 7.4769e-10
4.0, 0.1, 1.4339e-07, 6.693e-10
3.8, 0.1, 1.4611e-07, 5.6325e-10
3.6, 0.1, 1.4871e-07, 5.3663e-10
3.4, 0.1, 1.5129e-07, 4.8564e-10
3.2, 0.1, 1.5394e-07, 3.969e-10
3.0, 0.1, 1.5684e-07, 2.596e-10
2.8, 0.1, 1.5973e-07, 2.5363e-10
2.6, 0.1, 1.6256e-07, 2.2059e-10
2.4, 0.1, 1.6544e-07, 1.6532e-10
2.2, 0.1, 1.686e-07, 1.4156e-10
2.0, 0.1, 1.713e-07, 8.003e-11
1.8, 0.1, 1.7458e-07, 1.49e-11
1.6, 0.1, 1.7752e-07, -1.864e-11
1.4, 0.1, 1.8071e-07, -6.319e-11
1.2, 0.1, 1.838e-07, -1.3483e-10
1.0, 0.1, 1.8701e-07, -2.206e-10
0.8, 0.1, 1.905e-07, -3.2247e-10
0.6, 0.1, 1.9384e-07, -3.899e-10
0.4, 0.1, 1.9732e-07, -4.7357e-10
0.2, 0.1, 2.007e-07, -4.9348e-10
