VG, VDS, ID, IG
-10.0, 0.1, 2.3345e-09, -1.0056e-08
-9.8, 0.1, 2.18e-09, -8.3063e-09
-9.6, 0.1, 2.101e-09, -7.3731e-09
-9.4, 0.1, 2.033e-09, -6.6909e-09
-9.2, 0.1, 1.9838e-09, -6.2122e-09
-9.0, 0.1, 1.9501e-09, -5.7612e-09
-8.8, 0.1, 1.9124e-09, -5.3969e-09
-8.6, 0.1, 1.8841e-09, -5.1253e-09
-8.4, 0.1, 1.8481e-09, -4.8044e-09
-8.2, 0.1, 1.8234e-09, -4.6083e-09
-8.0, 0.1, 1.801e-09, -4.4461e-09
-7.8, 0.1, 1.7682e-09, -4.2262e-09
-7.6, 0.1, 1.7356e-09, -3.9827e-09
-7.4, 0.1, 1.7339e-09, -3.801e-09
-7.2, 0.1, 1.6969e-09, -3.6286e-09
-7.0, 0.1, 1.6736e-09, -3.4907e-09
-6.8, 0.1, 1.6522e-09, -3.3182e-09
-6.6, 0.1, 1.6557e-09, -3.2252e-09
-6.4, 0.1, 1.637e-09, -3.1119e-09
-6.2, 0.1, 1.6358e-09, -2.9254e-09
-6.0, 0.1, 1.5909e-09, -2.7263e-09
-5.8, 0.1, 1.5922e-09, -2.6231e-09
-5.6, 0.1, 1.5656e-09, -2.4515e-09
-5.4, 0.1, 1.5625e-09, -2.4109e-09
-5.2, 0.1, 1.5519e-09, -2.302e-09
-5.0, 0.1, 1.554e-09, -2.1795e-09
-4.8, 0.1, 1.5506e-09, -2.0444e-09
-4.6, 0.1, 1.5251e-09, -1.8367e-09
-4.4, 0.1, 1.5395e-09, -1.7367e-09
-4.2, 0.1, 1.5185e-09, -1.5708e-09
-4.0, 0.1, 1.5194e-09, -1.5291e-09
-3.8, 0.1, 1.5246e-09, -1.3906e-09
-3.6, 0.1, 1.5112e-09, -1.2194e-09
-3.4, 0.1, 1.5062e-09, -1.1527e-09
-3.2, 0.1, 1.494e-09, -9.8684e-10
-3.0, 0.1, 1.4859e-09, -9.337e-10
-2.8, 0.1, 1.4818e-09, -7.5673e-10
-2.6, 0.1, 1.4802e-09, -7.3097e-10
-2.4, 0.1, 1.4869e-09, -6.115e-10
-2.2, 0.1, 1.4805e-09, -4.3841e-10
-2.0, 0.1, 1.485e-09, -4.0999e-10
-1.8, 0.1, 1.4822e-09, -3.2845e-10
-1.6, 0.1, 1.4902e-09, -1.802e-10
-1.4, 0.1, 1.4903e-09, -1.986e-11
-1.2, 0.1, 1.5119e-09, -7.93e-12
-1.0, 0.1, 1.5177e-09, 7.993e-11
-0.8, 0.1, 1.52e-09, 1.756e-10
-0.6, 0.1, 1.5263e-09, 3.131e-10
-0.4, 0.1, 1.5255e-09, 4.805e-10
-0.2, 0.1, 1.5458e-09, 4.9577e-10
0.0, 0.1, 1.5397e-09, 5.7399e-10
0.2, 0.1, 1.5385e-09, 6.6239e-10
0.4, 0.1, 1.5499e-09, 7.514e-10
0.6, 0.1, 1.5567e-09, 8.472e-10
0.8, 0.1, 1.5523e-09, 9.416e-10
1.0, 0.1, 1.5597e-09, 1.0319e-09
1.2, 0.1, 1.568e-09, 1.1536e-09
1.4, 0.1, 1.5857e-09, 1.3418e-09
1.6, 0.1, 1.5932e-09, 1.3527e-09
1.8, 0.1, 1.6004e-09, 1.4324e-09
2.0, 0.1, 1.6052e-09, 1.5817e-09
2.2, 0.1, 1.6115e-09, 1.857e-09
2.4, 0.1, 1.6318e-09, 1.8789e-09
2.6, 0.1, 1.6453e-09, 1.8622e-09
2.8, 0.1, 1.6347e-09, 1.9968e-09
3.0, 0.1, 1.658e-09, 2.1486e-09
3.2, 0.1, 1.663e-09, 2.1888e-09
3.4, 0.1, 1.6669e-09, 2.3478e-09
