, IF
0.0, -0.00011331
.8, -0.00011128
.6, -0.0001091
.4, -0.00010695
.2, -0.00010476
.0, -0.00010247
.8, -0.00010026
.6, -9.8025e-05
.4, -9.5785e-05
.2, -9.3514e-05
.0, -9.1282e-05
.8, -8.9057e-05
.6, -8.6798e-05
.4, -8.449e-05
.2, -8.2208e-05
.0, -7.9897e-05
.8, -7.7612e-05
.6, -7.5346e-05
.4, -7.304e-05
.2, -7.0736e-05
.0, -6.8371e-05
.8, -6.6003e-05
.6, -6.3806e-05
.4, -6.1487e-05
.2, -5.9227e-05
.0, -5.6768e-05
.8, -5.4673e-05
.6, -5.238e-05
.4, -5.0082e-05
.2, -4.7784e-05
.0, -4.5477e-05
.8, -4.3166e-05
.6, -4.0876e-05
.4, -3.8581e-05
.2, -3.6298e-05
.0, -3.4016e-05
.8, -3.1728e-05
.6, -2.9451e-05
.4, -2.7164e-05
.2, -2.4872e-05
.0, -2.26e-05
.8, -2.0317e-05
.6, -1.8051e-05
.4, -1.5777e-05
.2, -1.3495e-05
.0, -1.1237e-05
.8, -8.972e-06
.6, -6.7105e-06
.4, -4.4639e-06
.2, -2.1322e-07
0, -5.085e-11
2, 2.1128e-06
4, 4.2736e-06
6, 6.3507e-06
8, 8.6189e-06
0, 1.0852e-05
2, 1.3039e-05
4, 1.5257e-05
6, 1.7402e-05
8, 1.9968e-05
0, 2.2564e-05
2, 2.4872e-05
4, 2.7158e-05
6, 2.9387e-05
8, 3.1652e-05
0, 3.3921e-05
2, 3.6034e-05
4, 3.8026e-05
6, 4.0045e-05
8, 4.1768e-05
0, 3.8862e-05
2, 3.6633e-05
4, 4.0664e-05
6, 4.338e-05
8, 4.3484e-05
0, 4.8125e-05
2, 5.4955e-05
4, 5.7768e-05
6, 6.1591e-05
8, 6.3954e-05
0, 6.646e-05
2, 6.9017e-05
4, 7.1398e-05
6, 7.3299e-05
8, 7.5381e-05
0, 7.7744e-05
2, 8.0069e-05
4, 8.2227e-05
6, 8.4573e-05
8, 8.6873e-05
0, 8.9133e-05
2, 9.13e-05
4, 9.3636e-05
6, 9.6011e-05
8, 9.8205e-05
0, 0.00010035
2, 0.00010252
4, 0.00010519
6, 0.00010729
8, 0.0001094
.0, 0.00011125
, IF
0.0, -0.00012434
.8, -0.00012195
.6, -0.00011957
.4, -0.00011716
.2, -0.00011476
.0, -0.0001123
.8, -0.00010966
.6, -0.00010715
.4, -0.00010467
.2, -0.00010212
.0, -9.96e-05
.8, -9.7243e-05
.6, -9.4638e-05
.4, -9.2173e-05
.2, -8.9656e-05
.0, -8.7128e-05
.8, -8.4621e-05
.6, -8.2065e-05
.4, -7.96e-05
.2, -7.7126e-05
.0, -7.4636e-05
.8, -7.2113e-05
.6, -6.9597e-05
.4, -6.7079e-05
.2, -6.4562e-05
.0, -6.2053e-05
.8, -5.955e-05
.6, -5.7021e-05
.4, -5.4529e-05
.2, -5.2023e-05
.0, -4.9533e-05
.8, -4.7029e-05
.6, -4.4532e-05
.4, -4.2039e-05
.2, -3.9536e-05
.0, -3.7046e-05
.8, -3.4555e-05
.6, -3.2076e-05
.4, -2.9587e-05
.2, -2.7106e-05
.0, -2.4618e-05
.8, -2.2146e-05
.6, -1.9677e-05
.4, -1.72e-05
.2, -1.4736e-05
.0, -1.2277e-05
.8, -9.8158e-06
.6, -7.3578e-06
.4, -4.8974e-06
.2, -2.4527e-06
0, -1.1373e-10
2, 2.4437e-06
4, 4.8988e-06
6, 7.3542e-06
8, 9.8161e-06
0, 1.227e-05
2, 1.4733e-05
4, 1.7208e-05
6, 1.9675e-05
8, 2.2139e-05
0, 2.4616e-05
2, 2.7089e-05
4, 2.957e-05
6, 3.2053e-05
8, 3.4537e-05
0, 3.7026e-05
2, 3.95e-05
4, 4.1978e-05
6, 4.4471e-05
8, 4.6958e-05
0, 4.9455e-05
2, 5.1951e-05
4, 5.4436e-05
6, 5.6932e-05
8, 5.9428e-05
0, 6.192e-05
2, 6.4405e-05
4, 6.6901e-05
6, 6.9381e-05
8, 7.1895e-05
0, 7.4392e-05
2, 7.6881e-05
4, 7.9365e-05
6, 8.1858e-05
8, 8.4367e-05
0, 8.6871e-05
2, 8.9387e-05
4, 9.1907e-05
6, 9.436e-05
8, 9.6894e-05
0, 9.9408e-05
2, 0.00010189
4, 0.00010439
6, 0.00010691
8, 0.00010942
0, 0.00011192
2, 0.0001144
4, 0.0001169
6, 0.0001194
8, 0.00012184
.0, 0.00012433
