VF, IF
-10.0, -3.1696e-05
-9.8, -3.1258e-05
-9.6, -3.0757e-05
-9.4, -3.0219e-05
-9.2, -2.9678e-05
-9.0, -2.9147e-05
-8.8, -2.8565e-05
-8.6, -2.8004e-05
-8.4, -2.7417e-05
-8.2, -2.6846e-05
-8.0, -2.6242e-05
-7.8, -2.5636e-05
-7.6, -2.5037e-05
-7.4, -2.4436e-05
-7.2, -2.3836e-05
-7.0, -2.3221e-05
-6.8, -2.26e-05
-6.6, -2.198e-05
-6.4, -2.1345e-05
-6.2, -2.0726e-05
-6.0, -2.0089e-05
-5.8, -1.9459e-05
-5.6, -1.8833e-05
-5.4, -1.8196e-05
-5.2, -1.7551e-05
-5.0, -1.69e-05
-4.8, -1.6251e-05
-4.6, -1.5591e-05
-4.4, -1.4949e-05
-4.2, -1.4291e-05
-4.0, -1.3641e-05
-3.8, -1.2975e-05
-3.6, -1.2319e-05
-3.4, -1.1653e-05
-3.2, -1.099e-05
-3.0, -1.0321e-05
-2.8, -9.6453e-06
-2.6, -8.975e-06
-2.4, -8.2982e-06
-2.2, -7.6258e-06
-2.0, -6.945e-06
-1.8, -6.2668e-06
-1.6, -5.5753e-06
-1.4, -4.8886e-06
-1.2, -4.2008e-06
-1.0, -3.506e-06
-0.8, -2.8111e-06
-0.6, -2.1126e-06
-0.4, -1.4113e-06
-0.2, -7.089e-07
0.0, -1.0505e-10
0.2, 7.0987e-07
0.4, 1.4264e-06
0.6, 2.1473e-06
0.8, 2.8732e-06
1.0, 3.6029e-06
1.2, 4.3393e-06
1.4, 5.0808e-06
1.6, 5.8236e-06
1.8, 6.5747e-06
2.0, 7.3345e-06
2.2, 8.0959e-06
2.4, 8.8688e-06
2.6, 9.6351e-06
2.8, 1.0417e-05
3.0, 1.1187e-05
3.2, 1.198e-05
3.4, 1.2775e-05
3.6, 1.3576e-05
3.8, 1.4375e-05
4.0, 1.5178e-05
4.2, 1.5995e-05
4.4, 1.6816e-05
4.6, 1.7631e-05
4.8, 1.847e-05
5.0, 1.9299e-05
5.2, 2.0133e-05
5.4, 2.0968e-05
5.6, 2.1816e-05
5.8, 2.2663e-05
6.0, 2.352e-05
6.2, 2.4369e-05
6.4, 2.5233e-05
6.6, 2.6089e-05
6.8, 2.6971e-05
7.0, 2.7835e-05
7.2, 2.8722e-05
7.4, 2.9601e-05
7.6, 3.0477e-05
7.8, 3.1371e-05
8.0, 3.2255e-05
8.2, 3.3153e-05
8.4, 3.4055e-05
8.6, 3.4956e-05
8.8, 3.5862e-05
9.0, 3.677e-05
9.2, 3.7679e-05
9.4, 3.8601e-05
9.6, 3.95e-05
9.8, 4.0414e-05
10.0, 4.1319e-05
